SAMPN,RECMODE,RETMODE,CTFIP,BIN,GTYPE,STYPE,ILANG,RESTY,HHSIZ,LTELE,HHLNG,O_HHLNG,INCOM,DOW,HHVEH,HHSTU,HHWRK,HHLIC,HHCHD,HTRIPS,HTRIPS_GPS,PARTIAL,HH1,HCITY,HCITY_PL,HCITY_MCD,HSTATE,HZIP,HTAZ,HTRACT,HH_WHT2,GEO_GROUP1,GEO_GROUP2,GEO_GROUP3,HHSIZ_R,INCOM_R,HHVEH_R,HHSTRUC,HTRIPS_V,HTRIPS_T,HTRIPS_NM,HTRIPS_O,HTRIPS_WP,HTRIPS_NWP,HTRIPS_GPS_V,HTRIPS_GPS_T,HTRIPS_GPS_NM,HTRIPS_GPS_O,HTRIPS_GPS_WP,HTRIPS_GPS_NWP
3676280,2,2,34017,16,2,1,1,2,1,1,1,,1,5,1,0,0,1,0,9,16.77,1,296.16667,BAYONNE,BAYONNE CITY,Bayonne city,NJ,07002,2829,34017011600,564.66,8,5,4,1,1,1,6,5,0,4,0,0,9,10.644,0,6.13,0,0,16.773
3676283,2,1,34021,16,2,1,1,1,4,1,1,,99,4,2,2,2,2,2,19,21.01,1,252,PRINCETON,,Princeton township,NJ,08540,3581,34021004204,357.97,12,6,5,4,9,2,1,17,0,2,0,4,15,19.32,0,1.691,0,3.958,17.053
3676364,2,2,36103,16,2,1,1,1,2,1,1,,6,4,6,0,2,2,0,4,3.01,1,214.1,KINGS PARK,KINGS PARK CDP,Smithtown town,NY,11754,1933,36103134906,50.73,3,2,1,2,4,3,2,4,0,0,0,4,0,3.007,0,0,0,3.007,0
3676381,2,1,34031,16,2,1,1,1,2,1,1,,8,2,2,0,2,2,0,5,5.8,1,273.875,WAYNE,,Wayne township,NJ,07470,2744,34031246103,180.06,7,5,4,2,4,2,2,5,0,0,0,4,1,5.795,0,0,0,4.365,1.431
3676414,2,1,34021,9,2,1,1,1,2,1,1,,8,4,1,0,2,2,0,1,1.21,1,325,PRINCETON,PRINCETON BOROUGH,Princeton borough,NJ,08540,3580,34021004000,270.73,12,6,5,2,4,1,2,0,1,0,0,0,1,0,1.214,0,0,0,1.214
3676416,2,2,34017,16,2,1,1,2,1,1,1,,2,3,0,0,0,0,0,4,8.78,1,278.25,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07304,2777,34017002800,50,8,5,4,1,1,0,6,0,3,1,0,0,4,0,6.582,2.194,0,0,8.776
3676418,2,3,34017,16,2,1,1,1,2,2,1,,6,4,1,0,2,1,0,2,1.5,1,314.2,BAYONNE,BAYONNE CITY,Bayonne city,NJ,07002,2817,34017010400,338.6,8,5,4,2,4,1,2,2,0,0,0,2,0,1.503,0,0,0,1.503,0
3676480,2,1,34017,16,2,1,1,2,4,1,1,,8,2,1,2,1,2,2,21,35.62,1,168.81818,HOBOKEN,HOBOKEN CITY,Hoboken city,NJ,07030,2896,34017018900,50.12,8,5,4,4,4,1,3,0,2,19,0,4,17,0,2.901,32.721,0,5.801,29.82
3676547,2,1,34017,16,2,1,1,2,1,1,1,,2,4,1,1,0,1,0,7,12.05,1,227.42857,JERSEY CITY,JERSEY CITY CITY,Jersey City city,NJ,07305,2802,34017005200,50,8,5,4,1,1,1,6,5,0,2,0,0,7,8.647,0,3.406,0,0,12.054
3676553,2,2,36103,16,2,1,1,1,1,1,1,,1,2,1,0,1,1,0,2,1.97,1,313,NORTH BABYLON,DEER PARK CDP,Babylon town,NY,11703,1902,36103122602,1831.29,3,2,1,1,1,1,4,2,0,0,0,0,2,1.966,0,0,0,0,1.966
3676569,2,2,36103,16,2,1,1,2,1,1,1,,1,4,1,0,1,1,0,5,7.58,1,540.4,PATCHOGUE,EAST PATCHOGUE CDP,Brookhaven town,NY,11772,2057,36103159102,594.44,3,2,1,1,1,1,4,5,0,0,0,2,3,7.582,0,0,0,1.503,6.079
3676593,2,2,36103,16,2,1,1,1,1,1,1,,5,1,1,0,1,1,0,2,1.66,1,255,DEER PARK,DEER PARK CDP,Babylon town,NY,11729,1905,36103122706,51.79,3,2,1,1,3,1,4,0,2,0,0,2,0,0,1.659,0,0,1.659,0
3676631,2,1,36103,16,2,1,1,1,1,1,1,,4,5,1,1,1,1,0,6,4.51,1,270,SAYVILLE,SAYVILLE CDP,Islip town,NY,11782,2001,36103147803,112.37,3,2,1,1,2,1,4,6,0,0,0,6,0,4.51,0,0,0,4.51,0
3676667,2,3,36103,16,2,1,1,2,1,1,1,,3,2,1,0,1,1,0,2,1.66,1,492.71429,CORAM,CORAM CDP,Brookhaven town,NY,11727,2045,36103158704,448.69,3,2,1,1,2,1,4,0,2,0,0,2,0,0,1.659,0,0,1.659,0
3676705,2,3,36103,16,2,1,1,1,2,1,1,,2,2,2,0,1,2,0,8,7.08,1,287.44444,PORT JEFFERSON STATION,TERRYVILLE CDP,Brookhaven town,NY,11776,2023,36103158308,174.61,3,2,1,2,1,2,4,8,0,0,0,4,4,7.085,0,0,0,3.007,4.078
3676706,2,1,36103,16,2,1,1,1,2,1,1,,5,1,3,0,1,2,0,5,7.58,1,496.8,SHIRLEY,SHIRLEY CDP,Brookhaven town,NY,11967,2071,36103159505,60.22,3,2,1,2,3,3,4,4,0,1,0,0,5,5.708,0,1.871,0,0,7.579
3676796,2,1,36103,16,2,1,1,1,4,1,1,,6,4,2,2,2,2,2,2,1.5,1,255.25,BELLPORT,EAST PATCHOGUE CDP,Brookhaven town,NY,11713,2063,36103159203,60.78,3,2,1,4,4,2,1,2,0,0,0,2,0,1.503,0,0,0,1.503,0
3676800,2,3,36103,16,2,1,1,1,6,1,1,,5,3,4,2,4,5,1,20,18.38,1,279.25,CENTEREACH,CENTEREACH CDP,Brookhaven town,NY,11720,2016,36103158115,50.48,3,2,1,4,3,3,1,17,3,0,0,11,9,15.634,2.741,0,0,9.627,8.748
