X,Y,OBJECTID_1,STATION_ID,COUNTY,LATITUDE,LONGITUDE,ATIS_ID,SE_ANNO_CAD_DATA,LINE_CODE,LAYER,MUNICIPALITY,RAIL_SERVICE,ADA
555045.146318078,610543.227300324,16,Perth Amboy,Middlesex,40.50937,-74.2737,120,,NC,STATIONS,Perth Amboy,NC,NO
553877.553508911,627747.70043724,17,Woodbridge,Middlesex,40.55661,-74.27775,159,,NC,STATIONS,Woodbridge Twp,NC,YES
553936.532393578,635426.622743405,18,Avenel,Middlesex,40.57769,-74.27746,11,,NC,STATIONS,Woodbridge Twp,NC,NO
554090.197768662,645883.036213741,19,Rahway,Union,40.60639,-74.27682,128,,NE,STATIONS,Rahway,"NE, NC",YES
561020.596965577,654315.616461404,20,Linden,Union,40.62949,-74.25177,70,,NE,STATIONS,Linden,"NE, NC",YES
571133.80836641,668325.007733904,21,Elizabeth,Union,40.66786,-74.21517,41,,NE,STATIONS,Elizabeth,"NE, NC",YES
573617.577677079,672853.881878242,22,North Elizabeth,Union,40.68027,-74.20616,110,,NE,STATIONS,Elizabeth,"NE, NC",YES
577870.149224412,681664.838993825,23,Newark Airport,Essex,40.70442,-74.19071,RAIL0164,,NE,STATIONS,Newark,"NE, NC",YES
585083.768983494,692562.465164408,24,Newark Penn Station,Essex,40.73426,-74.16454,108,,NE,STATIONS,Newark,"NE, NC, RV",YES
382317.769004494,668089.081040405,25,High Bridge,Hunterdon,40.66689,-74.89586,59,,RV,STATIONS,High Bridge,RV,NO
398945.644869413,657102.023946323,26,Lebanon,Hunterdon,40.63692,-74.83576,68,,RV,STATIONS,Lebanon,RV,NO
416989.264621995,649281.301726907,27,White House,Hunterdon,40.61562,-74.77066,158,,RV,STATIONS,Readington Twp,RV,NO
440949.923065413,640832.998741657,28,North Branch,Somerset,40.59203,-74.68379,109,,RV,STATIONS,Branchburg Twp,RV,NO
454800.034800828,632938.637561902,29,Raritan,Somerset,40.57099,-74.63437,130,,RV,STATIONS,Raritan,RV,NO
460462.84434133,631137.845231742,30,Somerville,Somerset,40.56607,-74.61397,139,,RV,STATIONS,Somerville,RV,YES
477750.284831997,628877.264779158,31,Bridgewater,Somerset,40.55991,-74.55174,24,,RV,STATIONS,Bridgewater Twp,RV,NO
483620.067055661,629245.012075156,32,Bound Brook,Somerset,40.56093,-74.53061,21,,RV,STATIONS,Bound Brook,RV,NO
502389.526563913,640151.875103906,33,Dunellen,Middlesex,40.59087,-74.46304,36,,RV,STATIONS,Dunellen,RV,NO
514288.970612746,650199.185061738,34,Plainfield,Union,40.61843,-74.42016,121,,RV,STATIONS,Plainfield,RV,YES
518925.27466033,654113.149018571,35,Netherwood,Union,40.62916,-74.40344,103,,RV,STATIONS,Plainfield,RV,NO
523975.55294558,658404.935382485,36,Fanwood,Union,40.64092,-74.38522,44,,RV,STATIONS,Fanwood,RV,NO
534403.600658994,661529.018373154,37,Westfield,Union,40.64946,-74.34762,156,,RV,STATIONS,Westfield,RV,YES
540724.92922366,662673.905190989,38,Garwood,Union,40.65257,-74.32483,47,,RV,STATIONS,Garwood,RV,NO
546814.145391662,663781.679878324,39,Cranford,Union,40.65557,-74.30288,32,,RV,STATIONS,Cranford Twp,RV,YES
446095.023667578,687255.772037655,40,Gladstone,Somerset,40.72006,-74.66607,49,,GL,STATIONS,Gladstone,GL,YES
448196.807849828,683143.44988174,41,Peapack,Somerset,40.70878,-74.65846,118,,GL,STATIONS,Peapack,GL,NO
455024.597015746,674729.991971157,42,Far Hills,Somerset,40.68572,-74.63379,45,,GL,STATIONS,Far Hills,GL,NO
472435.432928912,686047.65175049,43,Bernardsville,Somerset,40.71684,-74.57103,18,,GL,STATIONS,Bernardsville,GL,NO
476803.208970245,684065.082224824,44,Basking Ridge,Somerset,40.71141,-74.55527,12,,GL,STATIONS,Bernards Twp,GL,NO
478398.156239662,674400.316121325,45,Lyons,Somerset,40.68488,-74.5495,76,,GL,STATIONS,Bernards Twp,GL,YES
485580.573305245,670261.310619824,46,Millington,Morris,40.67352,-74.5236,89,,GL,STATIONS,Long Hill Twp,GL,NO
493850.70669933,670643.972584158,47,Stirling,Morris,40.67458,-74.49378,144,,GL,STATIONS,Long Hill Twp,GL,NO
500919.146958746,671987.421668902,48,Gillette,Morris,40.67826,-74.46829,48,,GL,STATIONS,Long Hill Twp,GL,NO
518959.457662828,678108.993743323,49,Murray Hill,Union,40.69503,-74.40322,100,,GL,STATIONS,New Providence,GL,NO
508023.982158497,673474.764494739,50,Berkeley Heights,Union,40.68233,-74.44267,17,,GL,STATIONS,Berkeley Heights Twp,GL,NO
523603.016289078,684338.900246739,51,New Providence,Union,40.71211,-74.38644,105,,GL,STATIONS,New Providence,GL,NO
531554.63129133,685961.929152906,52,Summit,Union,40.71654,-74.35775,146,,ME,STATIONS,Summit,"ME, GL",YES
540959.428754661,689158.100910157,53,Short Hills,Essex,40.72526,-74.3238,137,,ME,STATIONS,Millburn Twp,"ME, GL",NO
546498.359933995,689304.806981571,54,Millburn,Essex,40.72563,-74.30381,88,,ME,STATIONS,Millburn Twp,"ME, GL",NO
554366.040720914,691336.472865738,55,Maplewood,Essex,40.73116,-74.2754,81,,ME,STATIONS,Maplewood Twp,"ME, GL",NO
558459.231681496,696716.986710988,56,South Orange,Essex,40.7459,-74.26058,141,,ME,STATIONS,South Orange Twp,"ME, GL",YES
560553.995536581,700189.911523655,57,Mountain Station,Essex,40.75542,-74.25299,98,,ME,STATIONS,South Orange Twp,"ME, GL",NO
563107.466151413,704374.36837782,58,Highland Avenue,Essex,40.76688,-74.24372,60,,ME,STATIONS,City Of Orange Twp,"ME, GL",NO
566036.087590747,706206.657692239,59,Orange,Essex,40.77189,-74.23313,113,,ME,STATIONS,City Of Orange Twp,"ME, GL",NO
569882.690461829,703889.18923007,60,Brick Church,Essex,40.76549,-74.21927,23,,ME,STATIONS,East Orange,"ME, GL",NO
572189.031977747,702272.223960072,61,East Orange,Essex,40.76104,-74.21096,37,,ME,STATIONS,East Orange,"ME, GL",YES
583027.48799108,697422.78484007,62,Newark Broad Street,Essex,40.74762,-74.1719,107,,ME,STATIONS,Newark,"ME, GL, MC, ",YES
632765.70544358,698546.228787407,63,New York Penn Station,"New York, NY",40.75005,-73.99236,106,,NE,STATIONS,New York,"NE, NC, RV, ME, GL, MC",YES
428376.442963079,755539.676808156,64,Mount Olive,Morris,40.90738,-74.73065,94,,ME,STATIONS,Mt Olive Twp,"ME, MC",YES
399514.698521327,735464.364924736,65,Hackettstown,Warren,40.85202,-74.83479,53,,ME,STATIONS,Hackettstown,"ME, MC",YES
434830.836878411,751944.635769904,66,Netcong,Morris,40.89756,-74.70726,102,,ME,STATIONS,Netcong,"ME, MC",NO
446316.888381328,754387.691251241,67,Lake Hopatcong,Morris,40.90433,-74.66573,67,,ME,STATIONS,Roxbury Twp,"ME, MC",NO
476695.288254328,746731.236747906,68,Dover,Morris,40.88342,-74.55581,35,,ME,STATIONS,Dover,"ME, MC",YES
497237.084112912,746899.173747987,69,Denville,Morris,40.8839,-74.48151,34,,ME,STATIONS,Denville Twp,"ME, MC",YES
497122.832372911,743974.917129323,70,Mount Tabor,Morris,40.87587,-74.48193,95,,ME,STATIONS,Denville Twp,ME,NO
498157.514686745,726797.960997738,71,Morris Plains,Morris,40.82872,-74.4782,92,,ME,STATIONS,Morris Plains,ME,NO
499279.906470828,715322.554158568,72,Morristown,Morris,40.79722,-74.47416,93,,ME,STATIONS,Morristown,ME,YES
507797.87762383,708699.257037736,73,Convent Station,Morris,40.77903,-74.4434,30,,ME,STATIONS,Morris Twp,ME,NO
515635.45053133,700708.043361403,74,Madison,Morris,40.75707,-74.41513,77,,ME,STATIONS,Madison,ME,YES
524000.25466783,694568.15734724,75,Chatham,Morris,40.74019,-74.38496,27,,ME,STATIONS,Chatham,ME,NO
510489.377818245,747659.416978158,76,Mountain Lakes,Morris,40.88596,-74.43358,97,,MC,STATIONS,Mountain Lakes,MC,NO
517629.099759247,754011.669693574,77,Boonton,Morris,40.90338,-74.40773,20,,MC,STATIONS,Boonton,MC,YES
535295.250122413,761128.326720074,78,Towaco,Morris,40.92285,-74.34377,148,,MC,STATIONS,Montville Twp,MC,YES
546885.252204828,761623.499942325,79,Lincoln Park,Morris,40.92414,-74.30182,69,,MC,STATIONS,Lincoln Park,MC,NO
556295.403331995,757942.989258736,80,Mountain View-Wayne,Passaic,40.91398,-74.26781,99,,MC,STATIONS,Wayne Twp,MC,YES
565295.880409747,745835.628302902,81,Little Falls,Passaic,40.88067,-74.23537,72,,MC,STATIONS,Little Falls Twp,MC,NO
574416.340515245,737437.27567707,82,Montclair Heights,Essex,40.85754,-74.20249,90,,MC,STATIONS,Montclair Twp,MC,YES
573648.685226411,734222.470098823,83,Mountain Avenue,Essex,40.84872,-74.2053,96,,MC,STATIONS,Montclair Twp,MC,NO
572534.997821245,731775.037001573,84,Upper Montclair,Essex,40.84202,-74.20936,151,,MC,STATIONS,Montclair Twp,MC,NO
573221.93378333,727225.007715821,85,Watchung Avenue,Essex,40.82952,-74.20693,154,,MC,STATIONS,Montclair Twp,MC,NO
